SUMM_VAR,SITE1,SITE2,SITE3,SITE4,SITE5,ALL
1_N,155 (100%),49 (100%),49 (100%),26 (100%),141 (100%),420 (100%)
2_biologics_w,54 (35%),13 (27%),23 (47%),1 (4%),25 (18%),116 (28%)
2_biologics_wo,101 (65%),36 (73%),26 (53%),25 (96%),116 (82%),304 (72%)
2_censor_w,139 (90%),6 (12%),28 (57%),26 (100%),22 (16%),221 (53%)
2_censor_wo,16 (10%),43 (88%),21 (43%),0 (0%),119 (84%),199 (47%)
2_colectomy_w,1 (1%),4 (8%),0 (0%),0 (0%),0 (0%),5 (1%)
2_colectomy_wo,154 (99%),45 (92%),49 (100%),26 (100%),141 (100%),415 (99%)
2_corticosteroids_w,103 (66%),28 (57%),25 (51%),8 (31%),66 (47%),230 (55%)
2_corticosteroids_wo,52 (34%),21 (43%),24 (49%),18 (69%),75 (53%),190 (45%)
2_immunomodulator_w,25 (16%),15 (31%),6 (12%),5 (19%),44 (31%),95 (23%)
2_immunomodulator_wo,130 (84%),34 (69%),43 (88%),21 (81%),97 (69%),325 (77%)
2_mesalazine_w,39 (25%),19 (39%),6 (12%),4 (15%),15 (11%),83 (20%)
2_mesalazine_wo,116 (75%),30 (61%),43 (88%),22 (85%),126 (89%),337 (80%)
